0010 333333333333333333 434443333334343333333333
0020 233222243233323233 223322324424333444332232
0030 333333333333333333 333333223343333223233333
0040 334432323333333331 223333333333123122331323
0050 333333323333323333 333333322333333433322243
0060 433432412221234124 311131211.44442233441334
0070 433332222233333333 233323221233331322444323
0080 312331313232333222 123222221133322133321132
0091 333333333333333333 223222222333322322333333
0101 322232322223222333 323332333233223313334322
0111 333432323333444333 333332323333333222433321
0121 3221232243.3223321 222332343232322233322323
0130 333333223333333343 322342332323333222332332
0140 333332223222332322 333332333323323232233323
0150 333333333333333334 333333333332332343323232
0160 333322323333343333 323333313334343333332323
0171 422431211124444444 311111322433342422333323
0181 433132323133333333 224233333433232323333322
0191 221332433212322132 332214331343333134332423
0200 333332323333333322 323332222322232232322323
0211 333322322223333322 333322233323223222342333
0221 333433333333323333 333332223333323333332223
0231 444443344344444334 223322322323122222444223
0251 323413223432432323 322323413123213333323212
0260 334334444443344443 333333333333334322334414
0270 333433322433444333 411133323323333232343323
0280 333332323233323323 323332323333231223333323
0301 333333333233333333 232333323333232222332233
0310 214232313242343221 332111423232312332323142
0320 332223322233222233 322231132333334332343233
0330 333332322223333322 223332222323232323222222
0340 332223323332212231 222223332233332322432322
0350 333333322333333332 223332323234333222322323
0361 333332323333333222 222333232222222222333332
0370 443334433444433331 443333333334443444332341
0380 322343221423222433 222112114332221333222243
0391 322243221432244332 232232341332332232343224
0431 223243232213223432 333321311332222341214323
0411 24122223214332422. 322331433243211232233341
0421 221323223323224323 432224341132123233332323
0431 433333344333344443 333313333333433344334323
0441 333332323233333323 332312333323332322443323
0451 444443333334444444 333233333344333322444234
0461 443332333333423223 233333322333333333434322
0470 333232322232323323 333333323323232223332223
0480 333332323333333332 223332323323232223322323
0490 333343333334433443 333333333343432333333332
0500 333332323233323323 333323323332333332332323
0511 322322222223333232 323322323332332322223333
0520 333233323233333333 332332222333333223333323
0530 322142323323232334 121232341432222332324222
0540 322142321133222211 233212342232242333222231
0550 333323212222333232 222233312333332322223323
0560 333332323233323223 223222222332332233332433
0570 333332323333333333 333332323333232322323333
0581 322322312212333232 223331212343223222222222
0591 322232212223222333 323333322134332333333333
0600 433322222223444433 222222222322232223433223
0611 333333323333333333 223332323334333333333333
0621 333333323333333323 333332323333333322223223
0630 322322211212223222 222222211222222233321132
0640 222322322222233322 222222223222122233222232
0651 333332333333333333 223332323333232322233333
0661 323242213143224212 121223213324112223232411
0670 332332322333333332 223332323333332333322222
0690 322143232423243232 323432413332333232232341
0701 332333333233433334 233323333333333232344323
0711 332233323233323333 333343333334443444334233
0720 333332222322333322 223332323323222333222223
0730 332233323332223323 333333334334343333333333
0741 223132231413322422 432212324333333332423233
0751 322142322223221434 323322344422333234113231
0761 322333322232222223 322222322223443333333333
0771 443333322333444443 112332223333221222444343
0781 323223221422214241 432232141132143412314332
0790 322322121122221111 112222222121112233221133
0801 333343333343333343 333333333333343333344333
0811 333332323333333333 223332223322232222333343
0820 333234433232222333 333333323334443432444333
0831 333332333333333333 333333322333232322333223
0840 322432322223323224 133331222233332322442331
0851 332333323233333333 22323232232333333333232.
1031 433333323433323322 .233...2.333222143223232
1040 444443333333232323 .233.3323423223233333233
1051 444442334442332323 2233...33422223223344232
1061 333332323332333222 .2333..2.323222232233322
1070 2323323232234343.. 3233...23333332332232233
1081 323332222433343322 .233...12312223212223233
1091 43343444433...3333 3334..33.433222223334333
1101 43333232332...3333 32332..22433222223232223
1111 33333443333...23.. .3333...3.33223223333223
1121 33333343433......3 4344..34.444443324442443
1130 33232332333.....32 2233..332333233232222322
1140 43333333333.....2. .344..34.433222233333433
1510 33343232333....... 2133..22.333232233222234
1520 23122122212....... 2123...32244442344333444
1530 33333343333....... .344..33.344442243212322
1541 32343222122....... .333...2.33323333.233332
1551 34333343323322.... .333...2.33323333.233332
1560 41113132212....... 333...23243332.332333341
1571 32333233223....... 1122...1.323223222233123
1580 33333232333....... 3344...33344442244233322
1591 34223333312....... 3344...33344442244233322
1601 33243333323....... 3233...33344332333234333
1611 33443333333....... 2233...23233222222244222
1621 33343333223....... 1122...11333232223234222
1631 33223332223....... .333...3.433333344244333
1641 33333332223....... 2233...22333222333244333
1651 33223232322....... 2232...22423333333244333
1661 33243232223....... 2233...23333233233344323
1670 32333232121....... 1111...11323222322243232
1680 33333333333....... 3333...33433232233244223
1691 43343132222....... 1122.1.11432122222244233

